Citance Number: 1 | Reference Article: J96-3004.xml | Citing Article: A00-2032.xml | Citation Marker Offset: ['142'] | Citation Marker: 1996 | Citation Offset: ['141','142'] | Citation Text: <S sid ="141" ssid = "10">Chinese According to Sproat et al.</S><S sid ="142" ssid = "11">(1996), most prior work in Chinese segmentation has exploited lexical knowledge bases; indeed, the authors assert that they were aware of only one previously pubÃÂÃÂ­ lished instance (the mutual-information method of Sproat and Shih (1990)) of a purely statistical apÃÂÃÂ­ proach.</S> | Reference Offset: ['91','89','76'] | Reference Text: <S sid="76" ssid="14">The most accurate characterization of Chinese writing is that it is morphosyllabic (DeFrancis 1984): each hanzi represents one morpheme lexically and semantically, and one syllable phonologiÃÂ­ cally.</S> <S sid="89" ssid="27">Roughly speaking, previous work can be divided into three categories, namely purely statistical approaches, purely lexiÃÂ­ cal rule-based approaches, and approaches that combine lexical information with staÃÂ­ tistical information.</S> <S sid="91" ssid="29">Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel
Citance Number: 58 | Reference Article: J96-3004.xml | Citing Article: W10-3708.xml | Citation Marker Offset: ['16'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['16'] | Citation Text: <S sid ="16" ssid = "16">Experiments have shown only about 75% agreement among native speakers regarding the correct word segmentation (Sproat et al., 1996).</S> | Reference Offset: ['325','18','56'] | Reference Text: <S sid="18" ssid="18">orthographic words are thus only a starting point for further analysis and can only be regarded as a useful hint at the desired division of the sentence into words.</S> <S sid="56" ssid="17">Among these are words derived by various productive processes, including: 1.</S> <S sid="325" ssid="34">The average agreement among the human judges is .76, and the average agreement between ST and the humans is .75, or about 99% of the interhuman agreement.15 One can better visualize the precision-recall similarity matrix by producing from that matrix a distance matrix, computing a classical metric multidimensional scaling (Torgerson 1958; Becker, Chambers, Wilks 1988) on that disÃÂ­ tance matrix, and plotting the first two most significant dimensions.</S> | Discourse Facet: Results_Citation | Annotator: Ankita Patel


Citance Number: 59 | Reference Article: J96-3004.xml | Citing Article: W11-0823.xml | Citation Marker Offset: ['174'] | Citation Marker: 1996 | Citation Offset: ['174'] | Citation Text: <S sid ="174" ssid = "7">There are a number of popular dictionary-based solutions such as Cha Sen10 and Juman.11 Sproat et al (1996) proposed an alternative solution based on distributional statistics such as mutual information.</S> | Reference Offset: ['329','248','91'] | Reference Text: <S sid="91" ssid="29">Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S> <S sid="248" ssid="112">As a partial solution, for pairs of hanzi that co-occur sufficiently often in our namelists, we use the estimated bigram cost, rather than the independence-based cost.</S> <S sid="329" ssid="38">This is to allow for fair comparison between the statistical method and GR, which is also purely dictionary-based.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 60 | Reference Article: J96-3004.xml | Citing Article: W12-1011.xml | Citation Marker Offset: ['41'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['41'] | Citation Text: <S sid ="41" ssid = "5">Indeed, even native speakers can agree on word boundaries in modern Chinese only about 76% of the time (Sproat et al., 1996).</S> | Reference Offset: ['297','352','221'] | Reference Text: <S sid="221" ssid="85">10 Chinese speakers may object to this form, since the suffix f, menD (PL) is usually restricted to.</S> <S sid="297" ssid="6">The problem with these styles of evaluation is that, as we shall demonstrate, even human judges do not agree perfectly on how to segment a given text.</S> <S sid="352" ssid="61">For a given &quot;word&quot; in the automatic segmentation, if at least k of the huÃÂ­ man judges agree that this is a word, then that word is considered to be correct.</S> | Discourse Facet: Results_Citation | Annotator: Ankita Patel


Citance Number: 61 | Reference Article: J96-3004.xml | Citing Article: W12-1011.xml | Citation Marker Offset: ['204'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['204'] | Citation Text: <S sid ="204" ssid = "9">No comparable figure has been reported for classical Chinese word segmentation, but this rate compares favorably with past attempts for modern Chinese, e.g., an average of 76% inter- human agreement rate in (Sproat et al., 1996).</S> | Reference Offset: ['304','325','132'] | Reference Text: <S sid="132" ssid="70">For example Chen and Liu (1992) report precision and recall rates of over 99%, but this counts only the words that occur in the test corpus that also occur in their dictionary.</S> <S sid="304" ssid="13">Various segmentation approaches were then compared with human performance: 1.</S> <S sid="325" ssid="34">The average agreement among the human judges is .76, and the average agreement between ST and the humans is .75, or about 99% of the interhuman agreement.15 One can better visualize the precision-recall similarity matrix by producing from that matrix a distance matrix, computing a classical metric multidimensional scaling (Torgerson 1958; Becker, Chambers, Wilks 1988) on that disÃÂ­ tance matrix, and plotting the first two most significant dimensions.</S> | Discourse Facet: Results_Citation | Annotator: Ankita Patel


Citance Number: 62 | Reference Article: J96-3004.xml | Citing Article: W12-2303.xml | Citation Marker Offset: ['12'] | Citation Marker: 1996 | Citation Offset: ['11','12'] | Citation Text: <S sid ="11" ssid = "11">An extension of this approach is the dynamic programming search of the most probable word combination on the word lattice, such as Ma (1996) and Sproat et al.</S><S sid ="12" ssid = "12">(1996), which utilize information such as word frequency statistics in a corpus to build the model and are less efficient but more accurate.</S> | Reference Offset: ['89','91','245'] | Reference Text: <S sid="89" ssid="27">Roughly speaking, previous work can be divided into three categories, namely purely statistical approaches, purely lexiÃÂ­ cal rule-based approaches, and approaches that combine lexical information with staÃÂ­ tistical information.</S> <S sid="91" ssid="29">Purely statistical approaches have not been very popular, and so far as we are aware earlier work by Sproat and Shih (1990) is the only published instance of such an approach.</S> <S sid="245" ssid="109">There are two weaknesses in Chang et al.&apos;s model, which we improve upon.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 63 | Reference Article: J96-3004.xml | Citing Article: W12-2303.xml | Citation Marker Offset: ['157'] | Citation Marker: 1996 | Citation Offset: ['156','157'] | Citation Text: <S sid ="155" ssid = "30">There are many other OOV recognition methods proposed in literature before the rise of machine learning in the field.</S><S sid ="156" ssid = "31">For example, the Sproat et al.</S><S sid ="157" ssid = "32">(1996) system can successfully recognize OOVs of strong patterns, such as Chinese personal names, transliterations, using finite-state techniques.</S> | Reference Offset: ['377','455','367'] | Reference Text: <S sid="367" ssid="76">In a more recent study than Chang et al., Wang, Li, and Chang (1992) propose a surname-driven, non-stochastic, rule-based system for identifying personal names.17 Wang, Li, and Chang also compare their performance with Chang et al.&apos;s system.</S> <S sid="377" ssid="86">Our system does not currently make use of titles, but it would be straightforward to do so within the finite-state framework that we propose.</S> <S sid="455" ssid="1">Despite these limitations, a purely finite-state approach to Chinese word segmentation enjoys a number of strong advantages.</S> | Discourse Facet: Implication_Citation | Annotator: Ankita Patel


Citance Number: 64 | Reference Article: J96-3004.xml | Citing Article: W97-0120.xml | Citation Marker Offset: ['26'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['26'] | Citation Text: <S sid ="26" ssid = "26">One of the major problems in unsupervised word segmentation is the treatment of unseen word [Sproat et al., 1996] wrote lexical rules for each productive morphological process, such as plur noun formation, Chinese personal names, and transliterations of foreign words.</S> | Reference Offset: ['188','134','65'] | Reference Text: <S sid="65" ssid="3">In this paper we present a stochastic finite-state model for segmenting Chinese text into words, both words found in a (static) lexicon as well as words derived via the above-mentioned productive processes.</S> <S sid="134" ssid="72">The major problem for all segmentation systems remains the coverage afforded by the dictionary and the lexical rules used to augment the dictionary to deal with unseen words.</S> <S sid="188" ssid="52">One class comprises words derived by productive morphologiÃÂ­ cal processes, such as plural noun formation using the suffix ir, menD.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 65 | Reference Article: J96-3004.xml | Citing Article: W97-0120.xml | Citation Marker Offset: ['69'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['69'] | Citation Text: <S sid ="69" ssid = "5">We used a simple greedy algorithm described in [Sproat et al., 1996].</S> | Reference Offset: ['307','305','365'] | Reference Text: <S sid="305" ssid="14">A greedy algorithm (or maximum-matching algorithm), GR: proceed through the sentence, taking the longest match with a dictionary entry at each point.</S> <S sid="307" ssid="16">An anti-greedy algorithm, AG: instead of the longest match, take the.</S> <S sid="365" ssid="74">Thus we have some confidence that our own performance is at least as good as that of Chang et al.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 66 | Reference Article: J96-3004.xml | Citing Article: W97-0120.xml | Citation Marker Offset: ['73'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['73'] | Citation Text: <S sid ="73" ssid = "9">[Sproat et al., 1996] also proposed another method to estimate a set of initial word frequencies without segmenting the corpus.</S> | Reference Offset: ['173','168','170'] | Reference Text: <S sid="168" ssid="32">Word frequencies are estimated by a re-estimation procedure that involves applyÃÂ­ ing the segmentation algorithm presented here to a corpus of 20 million words,8 using 8 Our training corpus was drawn from a larger corpus of mixed-genre text consisting mostly of.</S> <S sid="170" ssid="34">This larger corpus was kindly provided to us by United Informatics Inc., R.O.C. a set of initial estimates of the word frequencies.9 In this re-estimation procedure only the entries in the base dictionary were used: in other words, derived words not in the base dictionary and personal and foreign names were not used.</S> <S sid="173" ssid="37">In any event, to date, we have not compared different methods for deriving the set of initial frequency estimates.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 67 | Reference Article: J96-3004.xml | Citing Article: W97-0120.xml | Citation Marker Offset: ['86'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['86'] | Citation Text: <S sid ="86" ssid = "22">The problem of the longest match string frequency method is that if a word W1 is a substring of other word w2 and if wl always appears as a substring of w2 in the training text, just like m 1Although (Sproat et al., 1996] calls it &quot;maximum matching&quot;, we call this method &quot;longest match&quot; according to a review on Chinese word segmentation [Wu and Tseng, 1993) and the literal translation of the Japanese name of the method Hi!:.</S> | Reference Offset: ['32','123','307'] | Reference Text: <S sid="32" ssid="32">On the other hand, in a translation system one probably wants to treat this string as a single dictionary word since it has a conventional and somewhat unpredictable translation into English.</S> <S sid="123" ssid="61">Statistical methods seem particularly applicable to the problem of unknown-word identification, especially for constructions like names, where the linguistic constraints are minimal, and where one therefore wants to know not only that a particular seÃÂ­ quence of hanzi might be a name, but that it is likely to be a name with some probabilÃÂ­ ity.</S> <S sid="307" ssid="16">An anti-greedy algorithm, AG: instead of the longest match, take the.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


Citance Number: 68 | Reference Article: J96-3004.xml | Citing Article: W97-0120.xml | Citation Marker Offset: ['121'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['121'] | Citation Text: <S sid ="121" ssid = "15">Word Segmentation accuracy is expressed in terms of recall and precision as is done for bracketing of partial parses [Nagata, 1994, Sproat et al., 1996).</S> | Reference Offset: ['128','405','361'] | Reference Text: <S sid="128" ssid="66">Following Sproat and Shih (1990), performance for Chinese segmentation systems is generally reported in terms of the dual measures of precision and recalP It is fairly standard to report precision and recall scores in the mid to high 90% range.</S> <S sid="361" ssid="70">On a set of 11 sentence fragments-the A set-where they reported 100% recall and precision for name identification, we had 73% recall and 80% precision.</S> <S sid="405" ssid="8">First of all, most previous articles report perforÃÂ­ mance in terms of a single percent-correct score, or else in terms of the paired measures of precision and recall.</S> | Discourse Facet: ['Method_Citation','Results_Citation'] | Annotator: Ankita Patel


Citance Number: 69 | Reference Article: J96-3004.xml | Citing Article: W97-0316.xml | Citation Marker Offset: ['11'] | Citation Marker: Sproat et al., 1996 | Citation Offset: ['10','11'] | Citation Text: <S sid ="10" ssid = "10">Automatic methods for correctly isolating words in a sentence -- a process called word segmentation -- is therefore an important and necessary first step to be taken before other analysis can begin.</S><S sid ="11" ssid = "11">Many researchers have proposed practical methods to resolve this problem such as (Nie et al., 1995, Wu and Tsang, 1995, Jin &amp; Chen, 1996, Ponte &amp; Croft, 1996, Sproat et al., 1996, Sun et al., 1997).</S> | Reference Offset: ['352','109','2'] | Reference Text: <S sid="2" ssid="2">An initial step of any textÃÂ­ analysis task is the tokenization of the input into words.</S> <S sid="109" ssid="47">This method, one instance of which we term the &quot;greedy algorithm&quot; in our evaluation of our own system in Section 5, involves starting at the beginning (or end) of the sentence, finding the longest word starting (ending) at that point, and then repeating the process starting at the next (previous) hanzi until the end (beginÃÂ­ ning) of the sentence is reached.</S> <S sid="352" ssid="61">For a given &quot;word&quot; in the automatic segmentation, if at least k of the huÃÂ­ man judges agree that this is a word, then that word is considered to be correct.</S> | Discourse Facet: Method_Citation | Annotator: Ankita Patel


